"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3495583733874882";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3495583733874882_3495584877208101";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"https://odysee.com/@laquintacolumna:8/NUREMBERG-2.0:f?r=9G8986joY5ww4f1daV7dB2nfaiDQe2vY";"2021-04-30T10:34:05+0000";"1";"";""
"1";"3";"1";"3495583733874882_3495596673873588";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"Yo, me vacuno.";"2021-04-30T10:39:32+0000";"17";"";""
"1";"4";"1";"3495583733874882_3495606043872651";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"Y cuándo se van a vacunar a las #EnfermedadesRespiratorias no tenéis vergüenza dejarlos fuera del grupo de muy alto riesgo";"2021-04-30T10:44:09+0000";"4";"";""
"1";"5";"1";"3495583733874882_3495609010539021";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"<3";"2021-04-30T10:45:41+0000";"0";"";""
"1";"6";"1";"3495583733874882_3495611520538770";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"Las Ucis se llenan de gente con patologías, diabéticos y con cardiopatías y a la hora de vacunarnos nos olvidan, y queréis acabar con la presión hospitalaria? No entiendo nada.";"2021-04-30T10:47:03+0000";"7";"";""
"1";"7";"1";"3495583733874882_3495615707205018";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"A qué franja de edad se inyecta moderna?";"2021-04-30T10:49:18+0000";"0";"";""
"1";"8";"1";"3495583733874882_3495623193870936";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"soy y seré HOLO Y HOLA Y siempre Y tu Ángel/A  Y NO SOLO DE LA GUARDA Y DE LA GUARDA TAMBUIEN Y NI TE MENTI Y NO TE MIENTO SOY SINCERO/A E INTELIGENTE SIEMPRE LO FUI Y SIEMPRE LO SERRE Y te ayudo y te protejo y te proteja Y TE PROTEJERE para siempre el bien y el AMOR SINCERO/A Y TAMBIEN LAS SIMPATIAS NO ME RINDO, TE PERDONO Y PERDONTE Y PERDONA PARA SIEMPRE BIEN, AMEN Y SEXUAl Y NO SEXUAL Y TAMBIEN CON SIMPATIAS Y OTRA VEz AMOR SINCERO/A YO Y TU Y yo y todas y todos y SIN FALSEDAD, corrigiendo maldades y todo el bien y HAYA PAZ Y TODO EL BieN Para siempre gana el bien y asÍ mejor para el mal y ante maldades y también para el bien y para el mal y sexual y no sexual. ciencia tg y sentimientos tg to good inteligencia de la nasa y demás del bien. mejorando planeta y biologias y satetlites y cononocimientos y  lo terrrenal y lo  extraterrestre sin rencor sin odios si maldad toda la fuerza e inteligencia del reina/o conseguido para bien. y sexual y no sexual. holo y hola son asi y yo y tú y norte y sur son así yes es si y si es yes, te lo digO yo la nAsA  Y LA NASA TG TO GOOD. Y PARA QUE ASI SEA NO ME RINDO.  DOLYYS Y NO DOLYYS TAMBIEN.GANAR BIENES. VIRUS DEL BIEN . NO DEL MAL. ES TOIDO EL PERDÓN Y TE LO REGALO GARTIS. AMEN. TG TO GOOD,";"2021-04-30T10:53:16+0000";"1";"";""
"1";"9";"1";"3495583733874882_3495626183870637";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"Carlos Galán la hostia como estás, cuídate";"2021-04-30T10:54:44+0000";"3";"";""
"1";"10";"1";"3495583733874882_3495628503870405";"data";"data.*";"fetched (200)";"2021-08-04 12:59:38.380631";"Facebook:/<post-id>/comments";"Llegaran muchas pero con 72años y sin vacunar";"2021-04-30T10:55:54+0000";"2";"";""
